Date,Well_Name,Basin,Well_Type,Well_Depth_Ft,Oil_Production_BBL,Water_Cut_Percentage,Gas_Production_MCF,Oil_Price_USD,Gas_Price_USD,Revenue_USD,Operating_Cost_USD,Maintenance_Cost_USD,Equipment_Purchase_USD,Net_Income_USD,Reservoir_Pressure_PSI,Well_Head_Temperature_F,Porosity_Percentage,Permeability_mD,Formation_Volume_Factor,Gas_Oil_Ratio,Well_Lease_Cost_USD,Salary_Cost_USD,Insurance_Cost_USD,Environmental_Compliance_Cost_USD,Water_Disposal_Cost_USD,Chemical_Treatment_Cost_USD,Pump_Efficiency_Percentage,Pump_Power_Usage_KWh,Tubing_Pressure_PSI,Casing_Pressure_PSI,Wellhead_Temperature_F,Artificial_Lift_Power_KWh,Last_Workover_Days,Next_Maintenance_Days,Equipment_Runtime_Hours,Downtime_Hours,Oil_Cut_Percentage,Gas_Oil_Ratio_SCF_BBL,Water_Oil_Ratio,Liquid_Rate_BBL_Day,Environmental_Risk_Score,Equipment_Risk_Score,Financial_Risk_Score,Overall_Risk_Score,Oil_Production_BBL_30D_Avg,Gas_Production_MCF_30D_Avg,Net_Income_USD_30D_Avg,Production_Decline_Rate
2019-01-01,Well_Batman,Eagle Ford,Horizontal,10000,1097.66,23.9,528.46,65.29,3.36,73442.02,21269.3,2247.9,0,49924.82,2362.58,173.68,14.36,61.97,1.516,1193.69,5686.84,9291.43,2272.31,1828.85,1192.64,997.23,91.87,119.01,1186.67,606.97,147.51,180.53,365.0,30.0,24.25,0.68,76.1,0.48,0.31,1359.98,4.39,1.22,4.7,4.5,,,,
2019-01-02,Well_Batman,Eagle Ford,Horizontal,10000,1300.66,25.79,613.24,69.55,3.32,92496.89,21852.63,2474.98,0,68169.29,2427.98,182.96,14.42,58.99,1.443,1186.66,5875.13,9848.66,2243.13,1755.1,1166.11,964.5,91.5,116.49,1173.72,592.75,142.41,187.72,365.0,30.0,24.36,0.0,74.21,0.47,0.35,1636.06,2.73,3.63,1.92,2.0,,,,
2019-01-03,Well_Batman,Eagle Ford,Horizontal,10000,1202.5,35.01,574.55,67.85,3.56,83634.76,21297.23,2349.73,0,59987.8,2444.45,176.76,14.48,56.46,1.469,1188.08,5757.51,9237.57,2424.84,1720.41,1222.89,934.01,94.41,124.18,1192.15,611.06,142.13,177.6,365.0,30.0,24.11,0.0,64.99,0.48,0.54,1623.52,1.02,4.33,1.54,3.48,,,,
2019-01-04,Well_Batman,Eagle Ford,Horizontal,10000,1252.78,25.97,547.55,67.08,3.49,85947.27,22614.96,2255.07,0,61077.24,2365.48,188.17,14.59,59.38,1.413,1190.84,6119.8,10053.95,2452.88,1845.62,1182.45,960.26,95.31,112.89,1218.24,603.52,139.83,177.68,365.0,30.0,24.0,0.83,74.03,0.44,0.35,1578.1,1.13,1.58,4.37,1.63,,,,
2019-01-05,Well_Batman,Eagle Ford,Horizontal,10000,1168.0,26.84,660.28,71.53,3.63,85944.04,22015.98,2459.71,0,61468.36,2448.76,179.11,14.45,63.23,1.498,1196.5,6107.7,9440.87,2487.73,1855.26,1181.02,943.4,95.34,124.78,1174.22,615.53,138.55,177.06,365.0,30.0,23.78,0.25,73.16,0.57,0.37,1481.53,3.56,2.51,4.42,3.32,,,,
2019-01-06,Well_Batman,Eagle Ford,Horizontal,10000,1253.43,21.43,572.9,67.81,3.51,87006.04,22176.99,2422.6,0,62406.45,2503.52,182.18,14.46,59.83,1.487,1214.57,5670.08,10081.69,2463.71,1814.71,1195.66,951.14,96.53,119.34,1199.33,599.33,148.11,181.1,365.0,30.0,23.99,0.0,78.57,0.46,0.27,1522.09,3.32,4.52,3.37,1.49,,,,
2019-01-07,Well_Batman,Eagle Ford,Horizontal,10000,1220.3,16.93,576.26,67.4,3.56,84299.81,22452.19,2517.32,0,59330.31,2337.05,174.85,13.99,61.53,1.4,1167.68,6102.64,9972.21,2399.5,1797.97,1208.85,971.02,93.61,123.99,1218.76,605.29,138.36,185.01,365.0,30.0,23.46,0.0,83.07,0.47,0.2,1426.88,4.33,1.0,4.29,2.25,,,,
2019-01-08,Well_Batman,Eagle Ford,Horizontal,10000,1288.28,21.26,615.3,72.18,3.47,95123.17,22160.44,2483.44,0,70479.29,2300.8,184.57,14.09,61.17,1.512,1213.91,5975.27,9848.95,2336.56,1824.07,1202.15,973.44,94.59,125.38,1196.8,606.58,142.55,175.41,365.0,30.0,24.33,0.0,78.74,0.48,0.27,1562.18,1.64,3.16,2.05,2.78,,,,
2019-01-09,Well_Batman,Eagle Ford,Horizontal,10000,1209.16,23.37,624.12,69.34,3.6,86090.03,21874.08,2476.56,0,61739.39,2415.6,187.36,14.42,58.33,1.448,1232.99,5948.28,9578.72,2322.63,1890.17,1158.35,975.93,94.11,119.84,1197.34,596.88,137.9,174.34,365.0,30.0,23.56,0.0,76.63,0.52,0.31,1491.76,4.68,2.57,4.56,3.07,,,,
2019-01-10,Well_Batman,Eagle Ford,Horizontal,10000,1219.42,27.29,619.0,69.12,3.49,86446.45,21721.63,2512.83,0,62212.0,2415.31,181.9,14.34,59.87,1.46,1192.98,5925.64,9416.24,2415.38,1808.14,1196.07,960.16,91.52,120.97,1185.26,623.32,145.84,171.24,365.0,30.0,24.77,0.0,72.71,0.51,0.38,1552.21,2.08,2.08,3.61,2.94,,,,
